Id;name;Poder;Valor;Total_Poder
0;A-Bomb;Accelerated_Healing;5,0;8,5
0;A-Bomb;Durability;0,5;8,5
0;A-Bomb;Longevity;1,0;8,5
0;A-Bomb;Super_Strength;0,5;8,5
0;A-Bomb;Stamina;0,5;8,5
0;A-Bomb;Camouflage;0,5;8,5
0;A-Bomb;Self_Sustenance;0,5;8,5
2;Abin Sur;Lantern_Power_Ring;25,0;25
3;Abomination;Accelerated_Healing;5,0;13
3;Abomination;Intelligence;0,5;13
3;Abomination;Super_Strength;0,5;13
3;Abomination;Stamina;0,5;13
3;Abomination;Super_Speed;0,5;13
3;Abomination;Invulnerability;5,0;13
3;Abomination;Animation;0,5;13
3;Abomination;Super_Breath;0,5;13
4;Abraxas;Dimensional_Awareness;0,5;106,5
4;Abraxas;Flight;0,5;106,5
4;Abraxas;Intelligence;0,5;106,5
4;Abraxas;Super_Strength;0,5;106,5
4;Abraxas;Size_Changing;1,0;106,5
4;Abraxas;Super_Speed;0,5;106,5
4;Abraxas;Teleportation;12,5;106,5
4;Abraxas;Magic;7,5;106,5
4;Abraxas;Dimensional_Travel;5,0;106,5
4;Abraxas;Immortality;25,0;106,5
4;Abraxas;Invulnerability;5,0;106,5
4;Abraxas;Molecular_Manipulation;7,5;106,5
4;Abraxas;Energy_Manipulation;0,5;106,5
4;Abraxas;Power_Cosmic;40,0;106,5
5;Absorbing Man;Cold_Resistance;2,0;36
5;Absorbing Man;Durability;0,5;36
5;Absorbing Man;Energy_Absorption;2,5;36
5;Absorbing Man;Super_Strength;0,5;36
5;Absorbing Man;Invulnerability;5,0;36
5;Absorbing Man;Elemental_Transmogrification;10,0;36
5;Absorbing Man;Fire_Resistance;0,5;36
5;Absorbing Man;Natural_Armor;0,5;36
5;Absorbing Man;Molecular_Manipulation;7,5;36
5;Absorbing Man;Heat_Resistance;2,0;36
5;Absorbing Man;Matter_Absorption;5,0;36
7;Adam Strange;Durability;0,5;12
7;Adam Strange;Stealth;1,0;12
7;Adam Strange;Flight;0,5;12
7;Adam Strange;Marksmanship;0,5;12
7;Adam Strange;Weapons_Master;2,5;12
7;Adam Strange;Intelligence;0,5;12
7;Adam Strange;Super_Speed;0,5;12
7;Adam Strange;Fire_Resistance;0,5;12
7;Adam Strange;Enhanced_Sight;0,5;12
7;Adam Strange;Power_Suit;5,0;12
9;Agent Bob;Stealth;1,0;1
10;Agent Zero;Energy_Absorption;2,5;10
10;Agent Zero;Longevity;1,0;10
10;Agent Zero;Super_Strength;0,5;10
10;Agent Zero;Energy_Blasts;0,5;10
10;Agent Zero;Energy_Beams;0,5;10
10;Agent Zero;Power_Suit;5,0;10
11;Air-Walker;Flight;0,5;49,5
11;Air-Walker;Super_Strength;0,5;49,5
11;Air-Walker;Super_Speed;0,5;49,5
11;Air-Walker;Self_Sustenance;0,5;49,5
11;Air-Walker;Molecular_Manipulation;7,5;49,5
11;Air-Walker;Power_Cosmic;40,0;49,5
12;Ajax;Agility;0,5;7
12;Ajax;Super_Strength;0,5;7
12;Ajax;Super_Speed;0,5;7
12;Ajax;Heat_Generation;0,5;7
12;Ajax;Power_Suit;5,0;7
13;Alan Scott;Flight;0,5;33
13;Alan Scott;Danger_Sense;2,5;33
13;Alan Scott;Intelligence;0,5;33
13;Alan Scott;Telepathy;5,0;33
13;Alan Scott;Energy_Blasts;0,5;33
13;Alan Scott;Super_Speed;0,5;33
13;Alan Scott;Teleportation;12,5;33
13;Alan Scott;Energy_Beams;0,5;33
13;Alan Scott;Phasing;0,5;33
13;Alan Scott;Force_Fields;1,5;33
13;Alan Scott;Hypnokinesis;0,5;33
13;Alan Scott;Energy_Manipulation;0,5;33
13;Alan Scott;Invisibility;7,5;33
19;Amazo;Agility;0,5;123
19;Amazo;Lantern_Power_Ring;25,0;123
19;Amazo;Durability;0,5;123
19;Amazo;Flight;0,5;123
19;Amazo;Underwater_breathing;1,0;123
19;Amazo;Marksmanship;0,5;123
19;Amazo;Power_Augmentation;0,5;123
19;Amazo;Longevity;1,0;123
19;Amazo;Intelligence;0,5;123
19;Amazo;Super_Strength;0,5;123
19;Amazo;Cryokinesis;0,5;123
19;Amazo;Telepathy;5,0;123
19;Amazo;Energy_Blasts;0,5;123
19;Amazo;Duplication;0,5;123
19;Amazo;Size_Changing;1,0;123
19;Amazo;Stamina;0,5;123
19;Amazo;Super_Speed;0,5;123
19;Amazo;Weapon_based_Powers;0,5;123
19;Amazo;Teleportation;12,5;123
19;Amazo;Enhanced_Senses;0,5;123
19;Amazo;Jump;0,5;123
19;Amazo;Shapeshifting;5,0;123
19;Amazo;Camouflage;0,5;123
19;Amazo;Phasing;0,5;123
19;Amazo;Fire_Control;2,5;123
19;Amazo;Enhanced_Memory;5,0;123
19;Amazo;Reflexes;0,5;123
19;Amazo;Invulnerability;5,0;123
19;Amazo;Energy_Constructs;2,5;123
19;Amazo;Force_Fields;1,5;123
19;Amazo;Power_Absorption;5,0;123
19;Amazo;Enhanced_Hearing;0,5;123
19;Amazo;Time_Travel;20,0;123
19;Amazo;Enhanced_Smell;0,5;123
19;Amazo;Water_Control;0,5;123
19;Amazo;Vision_Telescopic;0,5;123
19;Amazo;Magnetism;7,5;123
19;Amazo;Invisibility;7,5;123
19;Amazo;Vision_Microscopic;0,5;123
19;Amazo;Super_Breath;0,5;123
19;Amazo;Vision_Night;0,5;123
19;Amazo;Vision_Heat;2,5;123
19;Amazo;Vision_X_Ray;0,5;123
19;Amazo;Vision_Thermal;0,5;123
20;Ammo;Weapons_Master;2,5;2,5
22;Angel;Agility;0,5;52,5
22;Angel;Accelerated_Healing;5,0;52,5
22;Angel;Durability;0,5;52,5
22;Angel;Stealth;1,0;52,5
22;Angel;Flight;0,5;52,5
22;Angel;Longevity;1,0;52,5
22;Angel;Super_Strength;0,5;52,5
22;Angel;Stamina;0,5;52,5
22;Angel;Super_Speed;0,5;52,5
22;Angel;Enhanced_Senses;0,5;52,5
22;Angel;Magic;7,5;52,5
22;Angel;Immortality;25,0;52,5
22;Angel;Enhanced_Memory;5,0;52,5
22;Angel;Psionic_Powers;0,5;52,5
22;Angel;Enhanced_Hearing;0,5;52,5
22;Angel;Gliding;0,5;52,5
22;Angel;Vision_Telescopic;0,5;52,5
22;Angel;Toxin_and_Disease_Resistance;2,5;52,5
24;Angel Dust;Agility;0,5;2
24;Angel Dust;Super_Strength;0,5;2
24;Angel Dust;Stamina;0,5;2
24;Angel Dust;Super_Speed;0,5;2
25;Angel Salvadore;Flight;0,5;14,5
25;Angel Salvadore;Animal_Attributes;0,5;14,5
25;Angel Salvadore;Animal_Oriented_Powers;0,5;14,5
25;Angel Salvadore;Regeneration;12,5;14,5
25;Angel Salvadore;Toxin_and_Disease_Control;0,5;14,5
27;Animal Man;Animal_Attributes;0,5;7
27;Animal Man;Telepathy;5,0;7
27;Animal Man;Energy_Blasts;0,5;7
27;Animal Man;Animal_Oriented_Powers;0,5;7
27;Animal Man;Empathy;0,5;7
28;Annihilus;Agility;0,5;3,5
28;Annihilus;Durability;0,5;3,5
28;Annihilus;Flight;0,5;3,5
28;Annihilus;Super_Strength;0,5;3,5
28;Annihilus;Stamina;0,5;3,5
28;Annihilus;Super_Speed;0,5;3,5
28;Annihilus;Reflexes;0,5;3,5
29;Ant-Man;Intelligence;0,5;1,5
29;Ant-Man;Size_Changing;1,0;1,5
30;Ant-Man II;Agility;0,5;12
30;Ant-Man II;Stealth;1,0;12
30;Ant-Man II;Intelligence;0,5;12
30;Ant-Man II;Super_Strength;0,5;12
30;Ant-Man II;Telepathy;5,0;12
30;Ant-Man II;Size_Changing;1,0;12
30;Ant-Man II;Stamina;0,5;12
30;Ant-Man II;Animal_Oriented_Powers;0,5;12
30;Ant-Man II;Animal_Control;2,5;12
31;Anti-Monitor;Accelerated_Healing;5,0;147,5
31;Anti-Monitor;Dimensional_Awareness;0,5;147,5
31;Anti-Monitor;Durability;0,5;147,5
31;Anti-Monitor;Energy_Absorption;2,5;147,5
31;Anti-Monitor;Flight;0,5;147,5
31;Anti-Monitor;Power_Augmentation;0,5;147,5
31;Anti-Monitor;Intelligence;0,5;147,5
31;Anti-Monitor;Super_Strength;0,5;147,5
31;Anti-Monitor;Telepathy;5,0;147,5
31;Anti-Monitor;Energy_Blasts;0,5;147,5
31;Anti-Monitor;Size_Changing;1,0;147,5
31;Anti-Monitor;Darkforce_Manipulation;20,0;147,5
31;Anti-Monitor;Teleportation;12,5;147,5
31;Anti-Monitor;Energy_Beams;0,5;147,5
31;Anti-Monitor;Immortality;25,0;147,5
31;Anti-Monitor;Invulnerability;5,0;147,5
31;Anti-Monitor;Energy_Constructs;2,5;147,5
31;Anti-Monitor;Molecular_Manipulation;7,5;147,5
31;Anti-Monitor;Power_Suit;5,0;147,5
31;Anti-Monitor;Time_Travel;20,0;147,5
31;Anti-Monitor;Time_Manipulation;15,0;147,5
31;Anti-Monitor;Matter_Absorption;5,0;147,5
31;Anti-Monitor;Reality_Warping;12,5;147,5
33;Anti-Venom;Accelerated_Healing;5,0;22
33;Anti-Venom;Durability;0,5;22
33;Anti-Venom;Danger_Sense;2,5;22
33;Anti-Venom;Super_Strength;0,5;22
33;Anti-Venom;Stamina;0,5;22
33;Anti-Venom;Enhanced_Senses;0,5;22
33;Anti-Venom;Shapeshifting;5,0;22
33;Anti-Venom;Camouflage;0,5;22
33;Anti-Venom;Reflexes;0,5;22
33;Anti-Venom;Elasticity;0,5;22
33;Anti-Venom;Toxin_and_Disease_Resistance;2,5;22
33;Anti-Venom;Wallcrawling;0,5;22
33;Anti-Venom;Web_Creation;2,5;22
33;Anti-Venom;Symbiote_Costume;0,5;22
34;Apocalypse;Agility;0,5;77,5
34;Apocalypse;Accelerated_Healing;5,0;77,5
34;Apocalypse;Energy_Absorption;2,5;77,5
34;Apocalypse;Flight;0,5;77,5
34;Apocalypse;Power_Augmentation;0,5;77,5
34;Apocalypse;Longevity;1,0;77,5
34;Apocalypse;Super_Strength;0,5;77,5
34;Apocalypse;Telepathy;5,0;77,5
34;Apocalypse;Energy_Blasts;0,5;77,5
34;Apocalypse;Size_Changing;1,0;77,5
34;Apocalypse;Stamina;0,5;77,5
34;Apocalypse;Super_Speed;0,5;77,5
34;Apocalypse;Teleportation;12,5;77,5
34;Apocalypse;Telekinesis;1,0;77,5
34;Apocalypse;Shapeshifting;5,0;77,5
34;Apocalypse;Immortality;25,0;77,5
34;Apocalypse;Reflexes;0,5;77,5
34;Apocalypse;Invulnerability;5,0;77,5
34;Apocalypse;Force_Fields;1,5;77,5
34;Apocalypse;Natural_Armor;0,5;77,5
34;Apocalypse;Molecular_Manipulation;7,5;77,5
34;Apocalypse;Levitation;0,5;77,5
34;Apocalypse;Biokinesis;0,5;77,5
35;Aquababy;Underwater_breathing;1,0;2
35;Aquababy;Super_Strength;0,5;2
35;Aquababy;Water_Control;0,5;2
36;Aqualad;Durability;0,5;18,5
36;Aqualad;Underwater_breathing;1,0;18,5
36;Aqualad;Super_Strength;0,5;18,5
36;Aqualad;Cryokinesis;0,5;18,5
36;Aqualad;Telepathy;5,0;18,5
36;Aqualad;Stamina;0,5;18,5
36;Aqualad;Super_Speed;0,5;18,5
36;Aqualad;Energy_Beams;0,5;18,5
36;Aqualad;Magic;7,5;18,5
36;Aqualad;Enhanced_Hearing;0,5;18,5
36;Aqualad;Heat_Generation;0,5;18,5
36;Aqualad;Water_Control;0,5;18,5
36;Aqualad;Vision_Night;0,5;18,5
37;Aquaman;Agility;0,5;36,5
37;Aquaman;Accelerated_Healing;5,0;36,5
37;Aquaman;Cold_Resistance;2,0;36,5
37;Aquaman;Durability;0,5;36,5
37;Aquaman;Stealth;1,0;36,5
37;Aquaman;Underwater_breathing;1,0;36,5
37;Aquaman;Longevity;1,0;36,5
37;Aquaman;Intelligence;0,5;36,5
37;Aquaman;Super_Strength;0,5;36,5
37;Aquaman;Telepathy;5,0;36,5
37;Aquaman;Stamina;0,5;36,5
37;Aquaman;Super_Speed;0,5;36,5
37;Aquaman;Enhanced_Senses;0,5;36,5
37;Aquaman;Reflexes;0,5;36,5
37;Aquaman;Invulnerability;5,0;36,5
37;Aquaman;Enhanced_Hearing;0,5;36,5
37;Aquaman;Animal_Control;2,5;36,5
37;Aquaman;Enhanced_Sight;0,5;36,5
37;Aquaman;Heat_Resistance;2,0;36,5
